#名前	性別(0=両,1=男,2=女)	レア度	スロット1	スロット2	スロット3	入手時期	初期防御力	最終防御力	火耐性	水耐性	雷耐性	氷耐性	龍耐性	スキル系統1	スキル値1	スキル系統2	スキル値2	スキル系統3	スキル値3	スキル系統4	スキル値4	スキル系統5	スキル値5	生産素材1	個数	生産素材2	個数	生産素材3	個数	生産素材4	個数	カスタム強化防御力	カスタム強化素材1	個数1	カスタム強化素材2	個数2	ワンセット防具	仮番号
依巫・祈【元結】	2	5	1	0	0		52	60	3	0	0	0	0	早食い	1	満足感	1	幸運	1					カムラチケット	2	蛮顎竜の上鱗	3	堅竜骨	1	グラシスメタル	2							440
神凪・願【元結】	2	5	1	0	0		52	60	3	0	0	0	0	業物	2	弾丸節約	2	翔蟲使い	1					カムラチケット	2	蛮顎竜の鋭牙	2	堅竜骨	1	グラシスメタル	2							450
ガブラスＳヘッド	0	5	2	0	0		52	60	1	1	1	1	3	風圧耐性	2									翼蛇竜の頭	1	翼蛇竜の上皮	3	毒妖鳥の上鱗	2	堅竜骨	1							460
イソネＳヘルム	0	5	2	1	0	6	58	66	-1	2	-3	0	1	睡眠属性強化	1									人魚竜の怒髪ヒレ	2	人魚竜の上鱗	4	人魚竜の微睡み粉	1	上質なヒレ	2							470
ベリオＳヘルム	0	5	1	0	0	6	58	66	-3	0	-1	3	0	抜刀術【技】	2									琥珀色の鋭牙	2	氷牙竜の堅殻	4	氷牙竜の上毛皮	1	グラシスメタル	3							480
カガチＳヘルム	0	5	1	1	0	6	58	66	0	-3	3	0	0	ジャンプ鉄人	1	体術	1	見切り	1					飛雷竜の上鱗	4	飛雷竜の雷極針	1	飛雷竜の皮膜	2	青熊獣の剛毛	1							490
ジャナフＳヘルム	0	6	2	0	0	6	60	80	3	-3	-1	-1	0	集中	1	ＫＯ術	1							蛮顎竜の上毛皮	4	蛮顎竜の鋭牙	2	爆炎袋	2	傘鳥の上羽鱗	1							500
ナルガＳヘルム	0	6	3	0	0	6	60	80	-2	1	-3	1	1	回避性能	1									迅竜の上鱗	4	迅竜の鋭牙	2	迅竜の尻尾	2	竜玉	1							510
ミツネＳヘルム	0	6	2	1	0	6	60	80	0	2	-3	1	-1	死中に活	1									泡狐竜の尖爪	3	泡狐竜の上鱗	4	泡狐竜の紫上毛	2	イズチの剛毛	2							520
レウスＳヘルム	0	6	1	1	0	6	62	82	3	1	-2	1	-3	攻撃	1	破壊王	1							火竜の上鱗	4	火竜の翼	2	火竜の堅殻	1	獄炎石	2							530
ジンオウＳヘルム	0	6	1	0	0	6	62	82	0	-1	4	-4	1	力の解放	1	弱点特効	1							雷狼竜の尖角	2	雷狼竜の高電毛	3	超電雷光虫	3	天狗獣の剛毛	2							540
ロワーガＳテスタ	1	6	1	0	0		62	68	-2	0	3	-2	2	会心撃【属性】	2									オオクワアゲハ	2	埋もれた竜骨骸	2	雌火竜の堅殻	2	妃蜘蛛の堅殻	1							550
ファルメルＳテスタ	2	6	1	0	0		62	62	-2	0	3	-2	2	会心撃【属性】	2									オオクワアゲハ	2	埋もれた竜骨骸	2	雌火竜の堅殻	2	妃蜘蛛の堅殻	1							560
メデュレトＳハット	0	6	3	0	0		62	68	1	3	0	2	0	破壊王	1	精霊の加護	1							ゴスゴシックラゲ	1	河童蛙の上皮	2	堅竜骨	2	ノヴァクリスタル	1							570
ブリゲイドＳロポス	0	6	3	1	0		62	68	1	0	2	0	2	植生学	2									狩猟王のコイン	4	ラージャンコイン	1	ベリオコイン	2	堅竜骨	4							580
強弓の羽根飾り	0	6	0	0	0		56	62	0	0	0	0	0	弓溜め段階解放	1									撃龍王のコイン	2	狩猟王のコイン	3	ラージャンコイン	3	ベリオコイン	2							590
ガーグァＳフェイク	0	6	0	0	0		54	60	-3	-2	-2	1	0	飛び込み	1	幸運	1							丸鳥の羽	2	堅竜骨	4	ジャグラスの上皮	3	黄金色の粘泥土	2							600
禍鎧・覇【兜】	0	6	2	0	0	7	64	84	3	-3	-2	1	1	逆恨み	1	匠	1	ひるみ軽減	1					怨虎竜の剛兜角	1	怨虎竜の堅殻	4	怨虎竜の上鱗	1	鎌鼬竜の上刃尾	1							610
ゴシャＳヘルム	0	6	1	1	0	7	64	84	-4	1	-1	4	0	抜刀術【技】	1	挑戦者	1							雪鬼獣の尖角	2	雪鬼獣の剛毛	4	堅牢な巨骨	1	白兎獣の剛毛	2							620
オロミドＳヘルム	0	6	2	2	0	7	64	84	-4	3	3	-2	-2	高速変形	2									泥翁竜の長髭	2	泥翁竜の上鱗	4	泥翁竜の堅殻	1	豊沃なドロ	2							630
レックスＳヘルム	0	6	2	1	0	7	64	84	2	0	-3	0	-2	耳栓	1	早食い	1							轟竜のアギト	1	轟竜の上鱗	4	轟竜の尖爪	1	ジャグラスの上皮	2							640
ディアブロＳヘルム	0	6	2	0	0	7	64	84	3	-1	-1	-3	-1	ガード性能	1	スタミナ急速回復	1							角竜の堅殻	4	角竜の牙	2	上質なねじれた角	1	竜玉	1							650
ヤツカダヘルム	0	6	1	1	0	7	66	86	4	-2	-1	-3	1	散弾・拡散矢強化	1	装填速度	1							妃蜘蛛の絹糸	3	妃蜘蛛の堅殻	3	妃蜘蛛の鋭爪	1	臣蜘蛛の絹糸	2							660
金色ノ添髪	0	7	2	1	0	7	70	90	2	1	3	-5	2	火事場力	2	渾身	1							金獅子の黒毛	3	金獅子の尖角	2	黄金の毛	1	金獅子の鋭牙	3							670
ダマスクヘルム	0	7	0	0	0		68	88	-1	2	-3	1	-1	耐震	2	耳栓	2							古龍の血	2	怨虎竜の堅殻	2	妃蜘蛛の鉤棘	1	獄炎石	1							
炎の封眼	0	7	0	0	0		56	76	3	0	0	0	0	見切り	4									金獅子の黒毛	2	爆鱗竜の上鱗	2	怨虎竜の妖刀殻	2	古龍の血	2							
練達の羽根飾り	0	7	0	0	0		56	76	0	0	0	0	0	剥ぎ取り名人	1																							
クシャナアンク	0	7	1	0	0		74	94	-1	2	-2	3	-3	匠	2	通常弾・連射矢強化	2							鋼龍の尖角	3	鋼龍の堅殻	4	鋼龍の翼	2	角竜の堅甲	3							
ミヅハ【烏帽子】	0	7	1	0	0		74	94	-5	1	0	3	-3	心眼	2	弾導強化	2	回避性能	2					霞龍の尖角	2	霞龍の上皮	5	霞龍の尖爪	1	猛毒袋	3							
カイザークラウン	0	7	1	0	0		74	94	4	-4	1	-1	-3	見切り	3	超会心	1							炎王龍のたてがみ	3	炎王龍の堅殻	5	炎王龍の尖角	1	怨虎竜の魂結晶	2							
バゼルヘルム	0	7	2	0	0		72	92	3	1	-4	-2	-2	砲術	1	ガード性能	1							爆鱗竜の上鱗	4	爆鱗竜の尖爪	2	爆鱗竜の堅殻	1	泥翁竜の堅殻	2							680
しまきのこうべ	0	7	0	0	0	7	66	86	-1	0	0	0	-2	風紋の一致	1	集中	1	回避距離ＵＰ	1	風雷合一	1			風神龍の尖角	1	風神龍の堅殻	5	風神龍の碧棘	2	雌火竜の翼膜	1							
なるかみのこうべ	0	7	0	0	0	7	76	96	2	1	4	-3	-4	雷紋の一致	1	高速変形	1	攻めの守勢	1	風雷合一	1			雷神龍の尖角	2	雷神龍の堅殻	5	雷神龍の触手	1	雷神の龍玉	1							690
知略の眼鏡	0	6	2	2	0		60	68	2	2	2	2	2	地質学	2									知識の結晶	4	ヌシの熊掌	2	獄炎石	2	古龍の血	2							2000
赫耀ノヘルム	0	7	2	1	0		80	100	-2	-2	-2	-2	3	龍気活性	1	弱点特効	1							奇絶の赫灼殻	5	煮えたぎる赫耀液	2	天彗龍の尖爪	2	妃蜘蛛の灯腹	2							
蒼世ノ侍【艶髪】	0		2	1	0		72	92	2	2	0	0	2	体術	2	水属性攻撃強化	2																					
カムラノ装【頭巾】・継			2	0	0									精霊の加護	2	死中に活	1																					
レザーXヘッド			2	1	0									地質学	1	腹減り耐性	1	剥ぎ取り鉄人	1																			
チェーンXヘッド			4	0	0									スタミナ急速回復	1	防御	2																					
ハンターXヘルム			2	0	0									アイテム使用強化	1	攻撃	2																					
アロイXヘルム			4	0	0									水属性攻撃強化	1	剛刃研磨	1	砥石使用高速化	1																			
ボーンXヘルム			4	0	0									スタミナ奪取	1	破壊王	1																					
リノプロXヘルム			2	0	0									貫通弾・貫通矢強化	2	気絶耐性	1	泥雪耐性	1																			
ファンゴXフェイク			3	0	0									陽動	1	挑戦者	3																					
ブナハXハット			4	1	0									毒属性強化	1	反動軽減	2																					
タロスヘルム			3	0	0									死中に活	2	体力回復量ＵＰ	1																					
ランゴヘルム			4	0	0									麻痺属性強化	1	翔蟲使い	2																					
ジャギィXフェイク			3	1	0									滑走強化	1	ランナー	2																					
ランポスヘルム			4	1	0									攻撃	1	気絶耐性	1																					
イズチXヘルム			1	1	0									見切り	1	回避性能	2																					
バギィXヘルム			4	1	0									睡眠属性強化	1	氷耐性	1																					
クルルXヘルム			1	1	0									渾身	2	納刀術	1	気絶耐性	1																			
フロギィXヘルム			1	0	0									連射強化	2	回避距離ＵＰ	1																					
アシラXヘルム			1	1	1									不屈	1	防御	3	早食い	1																			
ウルクXヘルム			3	0	0									見切り	1	氷属性強化	2	達人芸	1	装填速度	1																	
ラングロXヘルム			1	1	1									麻痺属性強化	2	耳栓	1																					
アケノXヘルム			2	0	0									納刀術	1	火属性攻撃強化	1	抜刀術【技】	1																			
ルドロスXヘルム			2	1	0									ランナー	1	フルチャージ	1	集中	1																			
ボロスXヘルム			4	1	0									攻撃	1	防御	1	攻めの守勢	1	散弾・拡散矢強化	1																	
ザザミヘルム			1	0	0									納刀術	2	耐震	2																					
ヨツミXヘルム			1	0	0									通常矢・連射矢強化	2	早食い	1																					
インゴットXヘルム			4	1	0									風圧耐性	1	攻撃	2																					
混沌のパオ・真			3	1	1									キノコ大好き	1	早食い	1																					
エーデルXフロール			4	2	0									毒耐性	2	早食い	1																					
アルブーロXヘッド			2	1	0									弾導強化	2	ブレ抑制	2	チューンアップ	1																			
ゴギョウノゾウメン			2	0	0									鬼火纏	2	心眼	1	弾導強化	1																			
軽装騎士【耳飾】			1	0	0									攻撃	2	早食い	3																					
ユクモノカサ			2	0	0									見切り	2	回避性能	1	体力回復量ＵＰ	1																			
ズワロXフード			3	2	0									満足感	1	陽動	1	早食い	2																			
フルフルXヘルム			4	0	0									集中	1	体力回復量ＵＰ	1	雷属性攻撃強化	2																			
テンゴXヘルム			2	1	0									アイテム使用強化	1	広域化	2	気絶耐性	2																			
テンゴZヘルム			3	2	0									爆破属性強化	1	力の解放	2																					
プケプケXヘルム			4	0	0									特殊射撃強化	1	弾丸節約	1	毒属性強化	1																			
ジュラXヘルム			2	1	0									攻めの守勢	1	回避距離ＵＰ	2	逆恨み	1																			
バサルXヘルム			2	1	0									砲弾装填	1	防御	2	砲術	2																			
イソネXヘルム			2	2	0									睡眠属性強化	1	睡眠耐性	2	弾丸節約	1																			
イソネZヘルム			2	2	0									達人芸	1	挑戦者	2																					
レイアXヘルム			2	1	0									属性やられ耐性	1	毒耐性	1	挑戦者	1																			
カガチXヘルム			1	1	0									ジャンプ鉄人	1	体術	1	見切り	3																			
ジャナフXヘルム			3	0	0									集中	1	ＫＯ術	1	攻撃	1																			
スカルXヘッド			4	0	0									不屈	1	匠	1																					
ドーベルXヘルム			2	1	0									龍属性攻撃強化	1	攻撃	1	火事場力	1	ランナー	1																	
ヴァイクXヘルム			3	1	0									装填拡張	2	回復速度	1																					
マギュルXフロール			3	2	0									爆破やられ耐性	2	火属性攻撃強化	2	会心撃【属性】	1																			
デスギアXゲヒル			3	0	0									剛刃研磨	1	砥石使用高速化	2	攻撃	1																			
ロワーガXテスタ			2	0	0									会心撃【属性】	2	回避性能	2																					
砲術隊【兜】			3	0	0									ブレ抑制	2	反動軽減	1	回避距離UP	2																			
ギルドバードロポス			3	0	0									回避性能	2	キノコ大好き	1																					
ガーディアンヘルム			3	0	0									ガード性能	1	ガード強化	1	耳栓	1																			
ベリオXヘルム			1	1	0									抜刀術【技】	2	破壊王	1	氷属性攻撃強化	2																			
禍鎧・真【兜】			2	0	0									逆恨み	2	匠	1	ひるみ軽減	2																			
ナルガXヘルム			3	0	0									回避性能	1	体術	2	ひるみ軽減	1																			
ゴシャXヘルム			2	1	0									抜刀術【技】	1	挑戦者	2	納刀術	1																			
ゴルムヘルム			4	1	0									チャージマスター	1	渾身	1	耐震	1																			
ギザミヘルム			2	2	0									見切り	1	フルチャージ	2																					
オロミドXヘルム			2	2	0									高速変形	2	強化持続	1																					
オロミドZヘルム			3	0	0									逆恨み	1	火事場力	2	火属性攻撃強化	3																			
ヤツカダXヘルム			3	1	0									散弾・拡散矢強化	1	装填速度	1	チューンアップ	1																			
ヤツカダZヘルム			4	1	0									渾身	1	爆破属性強化	1	翔蟲使い	1																			
グローシアヘッド			2	0	0									研磨術【鋭】	1	スタミナ奪取	1	攻撃	2																			
バルバニアパッチ			3	0	0									弱点特効	1	捕獲名人	1	逆恨み	2																			
ウツシ表【覆面】・真			2	0	0									早食い	2	満足感	1	幸運	1																			
ウツシ裏【御面】・真			1	0	0									業物	2	弾丸節約	2	翔蟲使い	1	攻撃	2																	
重装騎士【兜】			2	0	0									ガード強化	1	砲術	1	砲弾装填	2																			
ホークハット			1	0	0									体術	2	弱点特効	1	幸運	1																			
ディグニイヤリング			1	0	0									集中	2	強化持続	2	回避距離ＵＰ	1																			
ガブラスXヘッド			4	2	1									風圧耐性	1	毒属性強化	1																					
ミツネXヘルム			2	1	0									死中に活	1	回避性能	2	体術	1																			
レウスXヘルム			4	0	0									攻撃	1	破壊王	1	超会心	1																			
ジンオウXヘルム			3	0	0									力の解放	1	弱点特効	1	会心撃【属性】	1																			
ルナガロヘルム			2	2	0									見切り	2	翔蟲使い	1																					
ゼクスヘルム			4	2	1									連撃	1	気絶耐性	2																					
エスピナゲヒル			2	2	0									麻痺属性強化	3	破壊王	1																					
ゴアヘルム			2	2	0									挑戦者	1	体術	2																					
レギオスヘルム			3	0	0									刃鱗磨き	1	体術	3																					
レックスXヘルム			4	1	0									耳栓	1	早食い	1																					
ディアブロXヘルム			3	0	0									ガード性能	3	耐震	1																					
ダマスクXヘルム			1	0	0									耐震	2	耳栓	2																					
メデュレトXハット			4	1	0									破壊王	1	精霊の加護	1	集中	1																			
プロフゴーグル			1	1	1									回復速度	3	耳栓	2																					
サージュフート			4	0	0									広域化	3	捕獲名人	1																					
シーカーヘッド			4	0	0									体術	3	回復速度	1																					
セイラーフード			4	2	1									供応	1																							
クシャナXアンク			4	0	0									匠	2	通常弾・連射矢強化	2																					
ミヅハ真【頬面】			4	0	0									心眼	2	弾導強化	2	攻勢	1																			
カイザーXクラウン			1	1	1									見切り	3	超会心	1																					
メルゼヘルム			2	2	0									弱点特効	1	翔蟲使い	2																					
アークヘルム			3	0	0									狂竜症【蝕】	1	災禍転福	2																					
斉天ノ添髪・真			4	1	0									火事場力	2	渾身	1																					
バゼルXヘルム			3	0	0									砲術	1	ガード性能	2	業物	1																			
拠点指令【耳飾】			2	0	0									広域化	2	集中	3																					
冥淵纏鎧イレケラト			4	2	0									弱点特効	1	逆恨み	2																					
しまきのこうべ真			2	0	0									風紋の一致	1	集中	1	回避距離ＵＰ	1	風雷合一	1																	
なるかみのこうべ真			2	0	0									雷紋の一致	1	高速変形	1	攻めの守勢	1	風雷合一	1																	
怒天ノ添髪			1	1	1									激昂	1	見切り	1	業物	2	弾丸節約	2																	
赫耀ノヘルム・真			4	1	1									龍気活性	1	弱点特効	1																					
